col_id,user_id,rating,book_id,username,isbn10
1,314,5,1,kaggle,439785960
2,439,3,1,kaggle,439785960
3,588,5,1,kaggle,439785960
4,1169,4,1,kaggle,439785960
5,1185,4,1,kaggle,439785960
6,2077,4,1,kaggle,439785960
7,2487,4,1,kaggle,439785960
8,2900,5,1,kaggle,439785960
9,3662,4,1,kaggle,439785960
10,3922,5,1,kaggle,439785960
11,5379,5,1,kaggle,439785960
12,5461,3,1,kaggle,439785960
13,5885,5,1,kaggle,439785960
14,6630,5,1,kaggle,439785960
15,7563,3,1,kaggle,439785960
16,9246,1,1,kaggle,439785960
17,10140,4,1,kaggle,439785960
18,10146,5,1,kaggle,439785960
19,10246,4,1,kaggle,439785960
20,10335,4,1,kaggle,439785960
21,10610,5,1,kaggle,439785960
22,10944,5,1,kaggle,439785960
23,11854,4,1,kaggle,439785960
24,11927,4,1,kaggle,439785960
25,12471,5,1,kaggle,439785960
26,13282,5,1,kaggle,439785960
27,13544,5,1,kaggle,439785960
28,15494,5,1,kaggle,439785960
29,16377,4,1,kaggle,439785960
30,16913,5,1,kaggle,439785960
31,17434,5,1,kaggle,439785960
32,17663,5,1,kaggle,439785960
33,17984,5,1,kaggle,439785960
34,18031,5,1,kaggle,439785960
35,18313,5,1,kaggle,439785960
36,18361,4,1,kaggle,439785960
37,20076,3,1,kaggle,439785960
38,20467,3,1,kaggle,439785960
39,20848,5,1,kaggle,439785960
40,21228,5,1,kaggle,439785960
41,21487,4,1,kaggle,439785960
42,21713,5,1,kaggle,439785960
43,22602,4,1,kaggle,439785960
44,23576,4,1,kaggle,439785960
45,23612,4,1,kaggle,439785960
46,24326,5,1,kaggle,439785960
47,24389,4,1,kaggle,439785960
48,24499,5,1,kaggle,439785960
49,24834,4,1,kaggle,439785960
50,24845,5,1,kaggle,439785960
51,25164,4,1,kaggle,439785960
52,25182,5,1,kaggle,439785960
53,25214,4,1,kaggle,439785960
54,26145,4,1,kaggle,439785960
55,26629,4,1,kaggle,439785960
56,26661,4,1,kaggle,439785960
57,28158,4,1,kaggle,439785960
58,28767,5,1,kaggle,439785960
59,29123,3,1,kaggle,439785960
60,29703,5,1,kaggle,439785960
61,30681,5,1,kaggle,439785960
62,31001,4,1,kaggle,439785960
63,32055,4,1,kaggle,439785960
64,32305,5,1,kaggle,439785960
65,32592,4,1,kaggle,439785960
66,32635,5,1,kaggle,439785960
67,32748,5,1,kaggle,439785960
68,32923,5,1,kaggle,439785960
69,33065,4,1,kaggle,439785960
70,33697,4,1,kaggle,439785960
71,33716,5,1,kaggle,439785960
72,33872,5,1,kaggle,439785960
73,33890,3,1,kaggle,439785960
74,37284,5,1,kaggle,439785960
75,37834,5,1,kaggle,439785960
76,38080,4,1,kaggle,439785960
77,38082,5,1,kaggle,439785960
78,38475,4,1,kaggle,439785960
79,39423,3,1,kaggle,439785960
80,41074,3,1,kaggle,439785960
81,42404,5,1,kaggle,439785960
82,43985,4,1,kaggle,439785960
